"Año";"Periodo";"China";"UE-27";"India";"EEUU";"Resto del mundo"
"1959";"Año";"0,7";"1,9";"0,1";"2,8";"3,3"
"1960";"Año";"0,8";"2,1";"0,1";"2,9";"3,5"
"1961";"Año";"0,6";"2,2";"0,1";"2,9";"3,6"
"1962";"Año";"0,5";"2,4";"0,1";"3";"3,8"
"1963";"Año";"0,5";"2,5";"0,1";"3,1";"4"
"1964";"Año";"0,5";"2,6";"0,1";"3,3";"4,3"
"1965";"Año";"0,5";"2,7";"0,2";"3,4";"4,6"
"1966";"Año";"0,5";"2,8";"0,2";"3,6";"4,8"
"1967";"Año";"0,5";"2,8";"0,2";"3,7";"5,1"
"1968";"Año";"0,5";"3";"0,2";"3,8";"5,4"
"1969";"Año";"0,6";"3,2";"0,2";"4";"5,8"
"1970";"Año";"0,8";"3,3";"0,2";"4,3";"6,2"
"1971";"Año";"0,9";"3,4";"0,2";"4,4";"6,6"
"1972";"Año";"1";"3,6";"0,2";"4,6";"6,9"
"1973";"Año";"1";"3,7";"0,2";"4,8";"7,4"
"1974";"Año";"1";"3,7";"0,2";"4,6";"7,4"
"1975";"Año";"1,2";"3,6";"0,2";"4,5";"7,5"
"1976";"Año";"1,2";"3,9";"0,2";"4,7";"7,9"
"1977";"Año";"1,3";"3,9";"0,3";"4,9";"8,1"
"1978";"Año";"1,5";"4";"0,3";"4,9";"8,4"
"1979";"Año";"1,5";"4,1";"0,3";"5";"8,7"
"1980";"Año";"1,5";"4,1";"0,3";"4,8";"8,8"
"1981";"Año";"1,5";"3,9";"0,3";"4,7";"8,7"
"1982";"Año";"1,6";"3,8";"0,3";"4,4";"8,7"
"1983";"Año";"1,7";"3,7";"0,4";"4,4";"8,8"
"1984";"Año";"1,8";"3,8";"0,4";"4,7";"9"
"1985";"Año";"2";"3,8";"0,4";"4,7";"9,5"
"1986";"Año";"2,1";"3,8";"0,4";"4,7";"9,6"
"1987";"Año";"2,3";"3,8";"0,5";"4,8";"9,9"
"1988";"Año";"2,4";"3,8";"0,5";"5,1";"10,3"
"1989";"Año";"2,5";"3,8";"0,5";"5,1";"10,4"
"1990";"Año";"2,5";"3,9";"0,6";"5,1";"10,7"
"1991";"Año";"2,6";"3,8";"0,6";"5,1";"11,2"
"1992";"Año";"2,7";"3,7";"0,7";"5,2";"10,3"
"1993";"Año";"2,9";"3,6";"0,7";"5,3";"10,3"
"1994";"Año";"3,1";"3,6";"0,7";"5,4";"10,2"
"1995";"Año";"3,4";"3,6";"0,8";"5,4";"10,3"
"1996";"Año";"3,5";"3,7";"0,8";"5,6";"10,5"
"1997";"Año";"3,5";"3,7";"0,9";"5,7";"10,6"
"1998";"Año";"3,4";"3,6";"0,9";"5,7";"10,6"
"1999";"Año";"3,6";"3,6";"1";"5,8";"10,8"
"2000";"Año";"3,6";"3,6";"1";"6";"11,2"
"2001";"Año";"3,7";"3,7";"1";"5,9";"11,4"
"2002";"Año";"4,1";"3,7";"1";"6";"11,5"
"2003";"Año";"4,8";"3,7";"1,1";"6";"12"
"2004";"Año";"5,2";"3,8";"1,1";"6,1";"12,4"
"2005";"Año";"5,9";"3,7";"1,2";"6,1";"12,7"
"2006";"Año";"6,5";"3,7";"1,3";"6,1";"13"
"2007";"Año";"7";"3,7";"1,4";"6,1";"13,3"
"2008";"Año";"7,5";"3,6";"1,5";"5,9";"13,6"
"2009";"Año";"7,9";"3,3";"1,6";"5,5";"13,3"
"2010";"Año";"8,6";"3,4";"1,7";"5,7";"14"
"2011";"Año";"9,5";"3,3";"1,8";"5,5";"14,3"
"2012";"Año";"9,8";"3,3";"2";"5,3";"14,7"
"2013";"Año";"10";"3,2";"2";"5,5";"14,7"
"2014";"Año";"10";"3";"2,2";"5,5";"14,8"
"2015";"Año";"9,9";"3,1";"2,3";"5,4";"15"
"2016";"Año";"9,8";"3,1";"2,4";"5,3";"15"
"2017";"Año";"10";"3,1";"2,4";"5,2";"15,3"
"2018";"Año";"10,4";"3";"2,6";"5,4";"15,4"
"2019";"Año";"10,7";"2,9";"2,6";"5,3";"15,5"
"2020";"Año";"11";"2,6";"2,4";"4,7";"14,5"
"2021";"Año";"11,5";"2,8";"2,7";"5";"15,1"
"2022";"Año";"11,4";"2,8";"2,9";"5,1";"15,4"
;;;;;;
;;;;;;
"Métrica":"China"
"Fuente":"Global Carbon Project"
"Clasificación":""
"Unidad":"Toneladas de CO2"
"Escala":"Miles de millones"
"EscalaFactorPotencia10":"9"
"SonDatosNumericos":"True"
;;;;;;
;;;;;;
"Métrica":"UE-27"
"Fuente":"Global Carbon Project"
"Clasificación":""
"Unidad":"Toneladas de CO2"
"Escala":"Miles de millones"
"EscalaFactorPotencia10":"9"
"SonDatosNumericos":"True"
;;;;;;
;;;;;;
"Métrica":"India"
"Fuente":"Global Carbon Project"
"Clasificación":""
"Unidad":"Toneladas de CO2"
"Escala":"Miles de millones"
"EscalaFactorPotencia10":"9"
"SonDatosNumericos":"True"
;;;;;;
;;;;;;
"Métrica":"EEUU"
"Fuente":"Global Carbon Project"
"Clasificación":""
"Unidad":"Toneladas de CO2"
"Escala":"Miles de millones"
"EscalaFactorPotencia10":"9"
"SonDatosNumericos":"True"
;;;;;;
;;;;;;
"Métrica":"Resto del mundo"
"Fuente":"Global Carbon Project"
"Clasificación":""
"Unidad":"Toneladas de CO2"
"Escala":"Miles de millones"
"EscalaFactorPotencia10":"9"
"SonDatosNumericos":"True"
;;;;;;
;;;;;;
"Url":"https://www.epdata.es/evolucion-emisiones-co2-procedentes-carbon-paises-mas-emiten/9c096ffd-bf8d-4af8-9995-ebe135abe5cc"
"Titulo":"Evolución de las emisiones de CO2 procedentes de combustibles fósiles por lugar"
"Subtitulo":""
